time,TRGW_2_2_15,TRGW_2_2_9,TRGW_2_3_8,TRGW_2_9_1,TRGW_2_13_10,TRGW_2_15_16,TRGW_2_21_10,TRGW_2_22_15,TRGW_2_24_4,TRGW_2_26_6,TRGW_2_29_15,TRGW_2_33_7,TRGW_2_34_10,TRGW_0_2_15,TRGW_0_2_9,TRGW_0_3_8,TRGW_0_9_1,TRGW_0_13_10,TRGW_0_15_16,TRGW_0_21_10,TRGW_0_22_15,TRGW_0_24_4,TRGW_0_26_6,TRGW_0_29_15,TRGW_0_33_7,TRGW_0_34_10
1.000000000000,34.51490469,34.84550316,34.88646001,35.23919927,34.47787407,34.31199438,34.36385566,34.19428065,34.59467017,34.42892614,34.09353754,34.17172628,34.04557420,34.44070728,34.85265874,34.89364344,35.24655428,34.48487509,34.31831620,34.37082109,34.13656794,34.60179698,34.43592138,34.03908232,34.17860226,34.05240636
32.00000000000,34.60735128,34.96562949,35.00894041,35.37329635,34.58895373,34.40796698,34.47576536,34.28629208,34.71949342,34.54884804,34.18223345,34.27537979,34.13903690,34.52116879,34.97343113,35.01669532,35.38084502,34.59682207,34.41548012,34.48358790,34.21717548,34.72708130,34.55645508,34.11713646,34.28334116,34.14726117
61.00000000000,34.75494700,35.16616916,35.21469964,35.60957472,34.76995360,34.55985732,34.65780053,34.43168408,34.93102882,34.74851759,34.32007282,34.44089348,34.28430738,34.64838723,35.17511877,35.22350455,35.61751921,34.77929894,34.56906826,34.66708789,34.34369074,34.93953208,34.75726219,34.23763575,34.45058785,34.29459800
92.00000000000,34.93094937,35.41643966,35.47308445,35.92164021,34.98686870,34.73738614,34.87559796,34.60095955,35.19606078,34.99346655,34.47766136,34.63550697,34.45068016,34.79944475,35.42690137,35.48332446,35.93035321,34.99806374,34.74835492,34.88673851,34.49044582,35.20595706,35.00380826,34.37487232,34.64720257,34.46317380
122.0000000000,35.07410459,35.63110929,35.69632056,36.20817142,35.16328193,34.87752295,35.05182598,34.73364241,35.42290143,35.19760430,34.59839640,34.78962238,34.57825143,34.92177940,35.64290415,35.70787169,36.21782136,35.17597153,34.88963020,35.06449197,34.60502498,35.43418275,35.20941373,34.47957257,34.80281876,34.59221819
153.0000000000,35.15119691,35.76231222,35.83490641,36.40933171,35.25722410,34.94655103,35.14422975,34.79760092,35.55940966,35.31296072,34.65268775,34.86609111,34.63602062,34.98694596,35.77498855,35.84738700,36.41999865,35.27071329,34.95890878,35.15774258,34.65973931,35.57178786,35.32577845,34.52610372,34.87990096,34.65036300
183.0000000000,35.13585001,35.76668687,35.84319669,36.46107659,35.23549273,34.91897727,35.11943523,34.76875539,35.55961517,35.29981044,34.61998438,34.83800361,34.60269846,34.97252983,35.77949296,35.85590886,36.47252112,35.24878843,34.93062744,35.13279454,34.63391768,35.57241464,35.31282590,34.49690217,34.85133031,34.61613921
214.0000000000,35.02894106,35.64034206,35.71646471,36.34942692,35.10001979,34.79893866,34.98009573,34.65167764,35.41920827,35.15673863,34.50519966,34.70728457,34.48245542,34.87959681,35.65249007,35.72865609,36.36129058,35.11212840,34.80900477,34.99229960,34.53171437,35.43166724,35.16907371,34.39633189,34.71909083,34.49389928
245.0000000000,34.86142637,35.41896016,35.49036767,36.10515937,34.88937586,34.62070771,34.76556957,34.47966069,35.17741275,34.92425031,34.34163012,34.51207806,34.31059484,34.73511470,35.42983211,35.50141673,36.11693906,34.89963256,34.62876286,34.77592689,34.38219889,35.18881606,34.93517639,34.25355846,34.52173170,34.31950174
275.0000000000,34.68269047,35.16885086,35.23278316,35.80332380,34.66524883,34.43602392,34.53845866,34.30240475,34.90608656,34.67079484,34.17619392,34.30915348,34.13668027,34.58171107,35.17822521,35.24242758,35.81458390,34.67354864,34.44220398,34.54683647,34.22852134,34.91605944,34.68003111,34.10947028,34.31667707,34.14326255
306.0000000000,34.53157991,34.94386648,34.99910003,35.50762744,34.47681969,34.28552677,34.34861273,34.15898046,34.66354533,34.45131541,34.04538767,34.14283338,33.99880790,34.45275575,34.95183290,35.00736465,35.51803152,34.48345218,34.29036783,34.35527838,34.10453333,34.67199278,34.45891293,33.99583507,34.14870749,34.00378271
336.0000000000,34.45611136,34.81588027,34.86403912,35.31381220,34.38339575,34.21687747,34.25585770,34.09489985,34.52714192,34.33527870,33.99072774,34.06539521,33.94060366,34.38918722,34.82298857,34.87140456,35.32329319,34.38921341,34.22139192,34.26164835,34.04964644,34.53447383,34.34182965,33.94879556,34.07061360,33.94519469
