time,HEADWATER,TAILWATER,GAGE_1
1.000000000000,-1016.7,-722.58,1815.8
32.00000000000,-1207.0,-866.62,2200.1
61.00000000000,-1521.8,-1100.5,2751.5
92.00000000000,-1897.1,-1373.4,3382.5
122.0000000000,-2198.4,-1581.1,3860.4
153.0000000000,-2357.4,-1674.8,4076.6
183.0000000000,-2315.9,-1620.6,3950.1
214.0000000000,-2076.0,-1421.5,3495.2
245.0000000000,-1710.0,-1140.5,2851.7
275.0000000000,-1325.4,-857.86,2206.4
306.0000000000,-1006.0,-638.16,1701.7
336.0000000000,-848.65,-544.31,1487.6
367.0000000000,-893.56,-598.95,1616.3
398.0000000000,-1122.7,-784.77,2043.9
426.0000000000,-1450.7,-1038.2,2617.8
457.0000000000,-1845.2,-1329.0,3276.7
487.0000000000,-2158.8,-1548.6,3772.6
518.0000000000,-2324.0,-1648.9,4000.6
548.0000000000,-2284.9,-1597.2,3883.2
579.0000000000,-2048.0,-1401.7,3442.8
610.0000000000,-1684.6,-1123.2,2813.9
640.0000000000,-1303.9,-844.13,2184.2
671.0000000000,-989.48,-628.15,1692.7
701.0000000000,-837.58,-538.06,1487.3
732.0000000000,-972.17,-659.34,1764.7
